x,f,df,F
0.336336336336336,0.113122131140149,0.672672672672673,0.0126823610487454
0.337337337337337,0.113796479161845,0.674674674674675,0.0127959337596068
0.338338338338338,0.114472831189548,0.676676676676677,0.0129101824965189
0.339339339339339,0.115151187223259,0.678678678678679,0.0130251092654938
0.34034034034034,0.115831547262979,0.680680680680681,0.0131407160725435
0.341341341341341,0.116513911308706,0.682682682682683,0.0132570049236799
0.342342342342342,0.117198279360442,0.684684684684685,0.0133739778249152
0.343343343343343,0.117884651418185,0.686686686686687,0.0134916367822614
0.344344344344344,0.118573027481936,0.688688688688689,0.0136099838017304
0.345345345345345,0.119263407551696,0.690690690690691,0.0137290208893344
0.346346346346346,0.119955791627463,0.692692692692693,0.0138487500510852
0.347347347347347,0.120650179709239,0.694694694694695,0.0139691732929949
0.348348348348348,0.121346571797022,0.696696696696697,0.0140902926210757
0.349349349349349,0.122044967890814,0.698698698698699,0.0142121100413393
0.35035035035035,0.122745367990613,0.700700700700701,0.014334627559798
0.351351351351351,0.123447772096421,0.702702702702703,0.0144578471824637
0.352352352352352,0.124152180208236,0.704704704704705,0.0145817709153484
0.353353353353353,0.12485859232606,0.706706706706707,0.0147064007644642
0.354354354354354,0.125567008449891,0.708708708708709,0.014831738735823
0.355355355355355,0.126277428579731,0.710710710710711,0.0149577868354369
0.356356356356356,0.126989852715578,0.712712712712713,0.015084547069318
0.357357357357357,0.127704280857434,0.714714714714715,0.0152120214434781
0.358358358358358,0.128420713005298,0.716716716716717,0.0153402119639294
0.359359359359359,0.129139149159169,0.718718718718719,0.0154691206366839
0.36036036036036,0.129859589319049,0.720720720720721,0.0155987494677536
0.361361361361361,0.130582033484936,0.722722722722723,0.0157291004631505
0.362362362362362,0.131306481656832,0.724724724724725,0.0158601756288866
0.363363363363363,0.132032933834736,0.726726726726727,0.015991976970974
0.364364364364364,0.132761390018647,0.728728728728729,0.0161245064954246
0.365365365365365,0.133491850208567,0.730730730730731,0.0162577662082506
0.366366366366366,0.134224314404495,0.732732732732733,0.0163917581154638
0.367367367367367,0.13495878260643,0.734734734734735,0.0165264842230764
0.368368368368368,0.135695254814374,0.736736736736737,0.0166619465371003
0.369369369369369,0.136433731028326,0.738738738738739,0.0167981470635476
0.37037037037037,0.137174211248285,0.740740740740741,0.0169350878084303
0.371371371371371,0.137916695474253,0.742742742742743,0.0170727707777604
0.372372372372372,0.138661183706229,0.744744744744745,0.0172111979775499
0.373373373373373,0.139407675944212,0.746746746746747,0.0173503714138109
0.374374374374374,0.140156172188204,0.748748748748749,0.0174902930925553
0.375375375375375,0.140906672438204,0.750750750750751,0.0176309650197953
0.376376376376376,0.141659176694212,0.752752752752753,0.0177723892015427
0.377377377377377,0.142413684956227,0.754754754754755,0.0179145676438097
0.378378378378378,0.143170197224251,0.756756756756757,0.0180575023526083
0.379379379379379,0.143928713498283,0.758758758758759,0.0182011953339504
0.38038038038038,0.144689233778323,0.760760760760761,0.0183456485938481
0.381381381381381,0.145451758064371,0.762762762762763,0.0184908641383134
0.382382382382382,0.146216286356426,0.764764764764765,0.0186368439733583
0.383383383383383,0.14698281865449,0.766766766766767,0.0187835901049949
0.384384384384384,0.147751354958562,0.768768768768769,0.0189311045392352
0.385385385385385,0.148521895268642,0.770770770770771,0.0190793892820911
0.386386386386386,0.14929443958473,0.772772772772773,0.0192284463395748
0.387387387387387,0.150068987906826,0.774774774774775,0.0193782777176982
0.388388388388388,0.15084554023493,0.776776776776777,0.0195288854224734
0.389389389389389,0.151624096569042,0.778778778778779,0.0196802714599123
0.39039039039039,0.152404656909161,0.780780780780781,0.019832437836027
0.391391391391391,0.153187221255289,0.782782782782783,0.0199853865568295
0.392392392392392,0.153971789607425,0.784784784784785,0.0201391196283319
0.393393393393393,0.154758361965569,0.786786786786787,0.0202936390565461
0.394394394394394,0.155546938329721,0.788788788788789,0.0204489468474842
0.395395395395395,0.156337518699881,0.790790790790791,0.0206050450071582
0.396396396396396,0.157130103076049,0.792792792792793,0.0207619355415801
0.397397397397397,0.157924691458225,0.794794794794795,0.0209196204567619
0.398398398398398,0.158721283846409,0.796796796796797,0.0210781017587156
0.399399399399399,0.159519880240601,0.798798798798799,0.0212373814534534
0.4004004004004,0.160320480640801,0.800800800800801,0.0213974615469871
0.401401401401401,0.161123085047009,0.802802802802803,0.0215583440453289
0.402402402402402,0.161927693459225,0.804804804804805,0.0217200309544906
0.403403403403403,0.162734305877449,0.806806806806807,0.0218825242804845
0.404404404404404,0.163542922301681,0.808808808808809,0.0220458260293224
0.405405405405405,0.164353542731921,0.810810810810811,0.0222099382070164
0.406406406406406,0.165166167168169,0.812812812812813,0.0223748628195785
0.407407407407407,0.165980795610425,0.814814814814815,0.0225406018730207
0.408408408408408,0.166797428058689,0.816816816816817,0.0227071573733551
0.409409409409409,0.167616064512961,0.818818818818819,0.0228745313265937
0.41041041041041,0.168436704973242,0.820820820820821,0.0230427257387484
0.411411411411411,0.16925934943953,0.822822822822823,0.0232117426158314
0.412412412412412,0.170083997911826,0.824824824824825,0.0233815839638546
0.413413413413413,0.17091065039013,0.826826826826827,0.02355225178883
0.414414414414414,0.171739306874442,0.828828828828829,0.0237237480967698
0.415415415415415,0.172569967364762,0.830830830830831,0.0238960748936858
0.416416416416416,0.17340263186109,0.832832832832833,0.0240692341855901
0.417417417417417,0.174237300363426,0.834834834834835,0.0242432279784948
0.418418418418418,0.175073972871771,0.836836836836837,0.0244180582784118
0.419419419419419,0.175912649386123,0.838838838838839,0.0245937270913532
0.42042042042042,0.176753329906483,0.840840840840841,0.024770236423331
0.421421421421421,0.177596014432851,0.842842842842843,0.0249475882803571
0.422422422422422,0.178440702965227,0.844844844844845,0.0251257846684438
0.423423423423423,0.179287395503612,0.846846846846847,0.0253048275936029
0.424424424424424,0.180136092048004,0.848848848848849,0.0254847190618464
0.425425425425425,0.180986792598404,0.850850850850851,0.0256654610791865
0.426426426426426,0.181839497154812,0.852852852852853,0.025847055651635
0.427427427427427,0.182694205717229,0.854854854854855,0.0260295047852041
0.428428428428428,0.183550918285653,0.856856856856857,0.0262128104859057
0.429429429429429,0.184409634860085,0.858858858858859,0.0263969747597519
0.43043043043043,0.185270355440526,0.860860860860861,0.0265819996127548
0.431431431431431,0.186133080026974,0.862862862862863,0.0267678870509262
0.432432432432432,0.18699780861943,0.864864864864865,0.0269546390802782
0.433433433433433,0.187864541217895,0.866866866866867,0.0271422577068229
0.434434434434434,0.188733277822367,0.868868868868869,0.0273307449365723
0.435435435435435,0.189604018432847,0.870870870870871,0.0275201027755384
0.436436436436436,0.190476763049336,0.872872872872873,0.0277103332297332
0.437437437437437,0.191351511671832,0.874874874874875,0.0279014383051687
0.438438438438438,0.192228264300336,0.876876876876877,0.028093420007857
0.439439439439439,0.193107020934849,0.878878878878879,0.02828628034381
0.44044044044044,0.193987781575369,0.880880880880881,0.0284800213190399
0.441441441441441,0.194870546221898,0.882882882882883,0.0286746449395585
0.442442442442442,0.195755314874434,0.884884884884885,0.028870153211378
0.443443443443443,0.196642087532978,0.886886886886887,0.0290665481405103
0.444444444444444,0.197530864197531,0.888888888888889,0.0292638317329675
0.445445445445445,0.198421644868091,0.890890890890891,0.0294620059947616
0.446446446446446,0.19931442954466,0.892892892892893,0.0296610729319047
0.447447447447447,0.200209218227236,0.894894894894895,0.0298610345504086
0.448448448448448,0.201106010915821,0.896896896896897,0.0300618928562855
0.449449449449449,0.202004807610413,0.898898898898899,0.0302636498555474
0.45045045045045,0.202905608311014,0.900900900900901,0.0304663075542063
0.451451451451451,0.203808413017622,0.902902902902903,0.0306698679582741
0.452452452452452,0.204713221730239,0.904904904904905,0.0308743330737631
0.453453453453453,0.205620034448863,0.906906906906907,0.031079704906685
0.454454454454454,0.206528851173496,0.908908908908909,0.0312859854630521
0.455455455455455,0.207439671904136,0.910910910910911,0.0314931767488762
0.456456456456456,0.208352496640785,0.912912912912913,0.0317012807701695
0.457457457457457,0.209267325383442,0.914914914914915,0.0319102995329439
0.458458458458458,0.210184158132106,0.916916916916917,0.0321202350432114
0.459459459459459,0.211102994886779,0.918918918918919,0.0323310893069841
0.46046046046046,0.212023835647459,0.920920920920921,0.032542864330274
0.461461461461461,0.212946680414148,0.922922922922923,0.0327555621190931
0.462462462462462,0.213871529186845,0.924924924924925,0.0329691846794535
0.463463463463463,0.214798381965549,0.926926926926927,0.0331837340173671
0.464464464464464,0.215727238750262,0.928928928928929,0.033399212138846
0.465465465465465,0.216658099540982,0.930930930930931,0.0336156210499022
0.466466466466466,0.217590964337711,0.932932932932933,0.0338329627565477
0.467467467467467,0.218525833140448,0.934934934934935,0.0340512392647945
0.468468468468468,0.219462705949192,0.936936936936937,0.0342704525806547
0.469469469469469,0.220401582763945,0.938938938938939,0.0344906047101402
0.47047047047047,0.221342463584706,0.940940940940941,0.0347116976592632
0.471471471471471,0.222285348411475,0.942942942942943,0.0349337334340355
0.472472472472472,0.223230237244251,0.944944944944945,0.0351567140404693
0.473473473473473,0.224177130083036,0.946946946946947,0.0353806414845766
0.474474474474474,0.225126026927829,0.948948948948949,0.0356055177723693
0.475475475475475,0.226076927778629,0.950950950950951,0.0358313449098595
0.476476476476476,0.227029832635438,0.952952952952953,0.0360581249030593
0.477477477477477,0.227984741498255,0.954954954954955,0.0362858597579805
0.478478478478478,0.22894165436708,0.956956956956957,0.0365145514806353
0.479479479479479,0.229900571241913,0.958958958958959,0.0367442020770357
0.48048048048048,0.230861492122753,0.960960960960961,0.0369748135531937
0.481481481481481,0.231824417009602,0.962962962962963,0.0372063879151213
0.482482482482482,0.232789345902459,0.964964964964965,0.0374389271688306
0.483483483483483,0.233756278801324,0.966966966966967,0.0376724333203335
0.484484484484485,0.234725215706197,0.968968968968969,0.037906908375642
0.485485485485485,0.235696156617078,0.970970970970971,0.0381423543407683
0.486486486486486,0.236669101533966,0.972972972972973,0.0383787732217243
0.487487487487487,0.237644050456863,0.974974974974975,0.038616167024522
0.488488488488488,0.238621003385768,0.976976976976977,0.0388545377551735
0.48948948948949,0.239599960320681,0.978978978978979,0.0390938874196907
0.49049049049049,0.240580921261602,0.980980980980981,0.0393342180240857
0.491491491491491,0.241563886208531,0.982982982982983,0.0395755315743706
