53000	39574813
53100	44566762
53200	28741819
53300	51052937
53400	50959287
53500	37862693
53600	28903614
53700	42650196
53800	47621529
53900	29246956
54000	43447383
54100	44221004
54200	46811120
54300	46078057
54400	47241511
54500	44759901
54600	48644539
54700	30182437
54800	45330516
54900	52143527
55000	50812938
55100	36558877
55200	47020125
55300	52586013
55400	65130760
55500	32814276
55600	65286294
55700	77652474
55800	73245799
55900	64485849
56000	78809818
56100	68366366
56200	58719821
56300	55716960
56400	86646492
56500	54934550
56600	49978526
56700	38288990
56800	69561608
56900	56295236
57000	59060546
57100	41457091
57200	53543016
57300	76422614
57400	44780647
57500	131309317
57600	50640188
57700	42475402
57800	43522184
57900	57087446
58000	68634205
58100	43167569
58200	51422268
58300	55212960
58400	53757653
58500	60361540
58600	35838464
58700	65568054
58800	52646868
58900	49233027
59000	54161782
59100	58603330
59200	50002769
59300	50368692
59400	39355763
59500	72248039
59600	53244850
59700	48299288
59800	59776260
59900	69313819
60000	55448839
60100	55175993
60200	68735724
60300	65030206
60400	37309156
60500	49029573
60600	66927714
60700	74135003
60800	61446878
60900	62463285
61000	54829915
61100	48675051
61200	47390043
61300	60180525
61400	61337439
61500	57423474
61600	60647115
61700	56454994
61800	60278250
61900	52455714
62000	48356650
62100	89460029
62200	67974535
62300	61116216
62400	59742913
62500	56978020
62600	49775742
62700	55978796
62800	58032099
62900	73598496
63000	66645047
63100	55459967
63200	55813703
63300	66402782
63400	45148089
63500	50578205
63600	50576190
63700	54045363
63800	54741500
63900	52831545
64000	79681698
64100	85833210
64200	60624126
64300	61692318
64400	54781246
64500	56329393
64600	55901304
64700	60936259
64800	47967141
64900	60783472
65000	71216839
65100	53041906
65200	53134072
65300	49995189
65400	51749329
65500	56161352
65600	49963362
65700	56572974
65800	52343826
65900	53587128
66000	51517267
66100	61075763
66200	81502486
66300	51604572
66400	55451888
66500	54987395
66600	50201863
66700	49569125
66800	58084315
66900	59566620
67000	55407304
67100	52675080
67200	55311021
67300	48688461
67400	50524873
67500	71756003
67600	51456708
67700	47286638
67800	49930766
67900	62639833
68000	63722854
68100	55722059
68200	48812675
68300	52013050
68400	47294431
68500	78502547
68600	54818858
68700	50315895
68800	52328855
68900	67205194
69000	61342088
69100	52542015
69200	66751430
69300	55506271
69400	53650599
69500	57627002
69600	69610016
69700	54393237
69800	60197483
69900	57590250
70000	68906602
70100	54091144
70200	49839392
70300	53847546
70400	69264973
70500	57929151
70600	54688284
70700	70489710
70800	47528790
70900	59374921
71000	89061663
71100	52924793
71200	69141456
71300	48382720
71400	48984128
71500	47003479
71600	56279831
71700	63383789
71800	71583507
71900	58611941
72000	58081443
72100	54471788
72200	61725564
72300	57789546
72400	63096141
72500	59607586
72600	53723612
72700	66771441
72800	54640089
72900	74785605
73000	59357980
73100	77275331
73200	51370273
73300	75640589
73400	53747700
73500	56320190
73600	80915736
73700	75439685
73800	75874751
73900	78232671
74000	53231972
74100	72354033
74200	55023125
74300	64222807
74400	58927888
74500	66937213
74600	57361195
74700	59512025
74800	68564130
74900	62490946
75000	72253521
75100	54491355
